year,rate
1914,1.30%
1915,0.90%
1916,7.70%
1917,17.80%
1918,17.30%
1919,15.20%
1920,15.60%
1921,-10.90%
1922,-6.20%
1923,1.80%
1924,0.40%
1925,2.40%
1926,0.90%
1927,-1.90%
1928,-1.20%
1929,0.00%
1930,-2.70%
1931,-8.90%
1932,-10.30%
1933,-5.20%
1934,3.50%
1935,2.60%
1936,1.00%
1937,3.70%
1938,-2.00%
1939,-1.30%
1940,0.70%
1941,5.10%
1942,10.90%
1943,6.00%
1944,1.60%
1945,2.30%
1946,8.50%
1947,14.40%
1948,7.70%
1949,-1.00%
1950,1.10%
1951,7.90%
1952,2.30%
1953,0.80%
1954,0.30%
1955,-0.30%
1956,1.50%
1957,3.30%
1958,2.70%
1959,1.08%
1960,1.50%
1961,1.10%
1962,1.20%
1963,1.20%
1964,1.30%
1965,1.60%
1966,3.00%
1967,2.80%
1968,4.30%
1969,5.50%
1970,5.80%
1971,4.30%
1972,3.30%
1973,6.20%
1974,11.10%
1975,9.10%
1976,5.70%
1977,6.50%
1978,7.60%
1979,11.30%
1980,13.50%
1981,10.30%
1982,6.10%
1983,3.20%
1984,4.30%
1985,3.50%
1986,1.90%
1987,3.70%
1988,4.10%
1989,4.80%
1990,5.40%
1991,4.20%
1992,3.00%
1993,3.00%
1994,2.60%
1995,2.80%
1996,2.90%
1997,2.30%
1998,1.60%
1999,2.20%
2000,3.40%
2001,2.80%
2002,1.60%
2003,2.30%
2004,2.70%
2005,3.40%
2006,3.20%
2007,2.90%
2008,3.80%
2009,-0.40%
2010,1.60%
2011,3.20%
2012,2.10%
2013,1.50%
2014,1.60%
2015,0.10%
2016,1.30%
2017,2.10%
2018,2.40%
2019,1.80%
2020,1.20%
2021,4.80%
